feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
klaim,0.005285882070725403,0.00410690924264196,0.0003343688303321146,0.003274597916922764,0.003651934187139749,0.0028006280396368696,0.019454320287398862
tahan,0.009373601301502478,0.0014516341210713327,0.0033511478192733662,0.0020900087423214924,0.000340120817407752,0.002820931436244143,0.019427444237820564
no,0.0011396603316989925,0.0034681953541722257,0.0025380279445103913,0.005066656624654286,0.006677367920759658,0.00045911644525568207,0.019349024621051238
citra,0.0014709556774223122,0.00957863241169328,5.549817759624122e-05,0.005359272756349735,0.0002660700001730354,0.002537832155344577,0.01926826117857918
k,0.006766539902496999,0.0038169816818325072,0.0020238266034742587,0.0028305313321847396,0.0007606044150299987,0.0029956585343449554,0.01919414246936346
lantai,0.002338660060611161,0.0010291149261118682,0.002684150625074221,0.005671414077470045,0.0001482169189350022,0.007194236486979834,0.01906579309518213
umat,0.007346950347948683,0.0017652112760862628,6.533991040079915e-06,0.0006504932979643849,0.0015110911392760059,0.007749857500143131,0.019030137552458547
bloon,0.002017410963756357,0.004287627060796003,0.0031962278398373844,0.00814317977301397,0.00038390192076462776,0.0009741841706113763,0.019002531728779717
pilkada,0.0008287776421828968,0.002336208075753559,0.003262804980601268,0.009432333273945296,0.00035773609327876616,0.0026468064821289932,0.018864666547890784
yahudi,0.0018560640300894736,0.0008736767765093836,0.00226582446663408,0.003696188897333572,0.004384226765745261,0.005683603141644722,0.01875958407795649
tewas,0.0046991002339375944,0.004706443331916088,0.003922339463835667,0.003403372701503644,0.0007326442980831103,0.0012442679624367096,0.018708167991712817
lgbt,0.0017792411763344828,0.0032986681322457294,0.00437155853881376,0.00216090255950467,0.006017305129456829,0.0010042709870496827,0.018631946523405152
sampah,0.0030089982848794336,0.0053821845106693305,0.003926599077612581,0.004219745403251947,0.0008064913787845606,0.0012735485213661208,0.018617567176563973
n,0.0004427077334155407,0.0008002425389529211,0.005523097969798369,0.0008632414405858048,0.007098053121746104,0.003681146864902207,0.018408489669400944
berita,0.0013755584422954219,0.0014741420714243726,0.004434281733145527,0.0019056230485596272,0.0013594259875405563,0.0077979143983745135,0.01834694568134002
u,0.005273895828519436,0.0051752313020290595,0.003904041682131315,0.0018231886480235672,0.00026156298890262365,0.0017206255187148787,0.01815854596832088
perintah,0.007561966110604142,0.00360378046118033,0.001471608919967352,0.001291465001933802,0.00030193869697640554,0.0038363908704809563,0.018067150061142987
onta,0.004823705324488945,0.008699640697105732,0.0017847634670380935,0.0011703577036466894,0.0012298620369238858,0.00030904783499171413,0.01801737706419506
klo,0.0034053127633018117,0.0036480502556961,0.0019446680332039423,0.003577961368206566,0.004507769608511418,0.0007721223005048891,0.01785588432942473
